iter	RMSE
0	3225.417671
1	3053.446436
2	2891.368941
3	2740.284423
4	2595.441223
5	2460.089451
6	2331.533979
7	2211.126467
8	2096.752542
9	1988.716026
10	1890.254338
11	1790.130507
12	1703.181784
13	1617.985083
14	1537.159269
15	1465.090047
16	1397.195791
17	1330.265931
18	1269.436107
19	1209.385995
20	1157.797079
21	1104.447736
22	1054.870431
23	1009.173859
24	967.3394746
25	925.5083097
26	887.3914682
27	851.1266258
28	818.7248493
29	786.5988356
30	755.1017834
31	725.760874
32	699.0758012
33	673.7313676
34	649.4389433
35	628.8056924
36	608.6156457
37	589.6427722
38	570.6436107
39	552.1285625
40	537.3865881
41	523.3015435
42	509.8454511
43	496.872957
44	484.6879871
45	472.858627
46	462.297141
47	451.6429855
48	442.3320294
49	434.1554173
50	425.8734997
51	419.8393896
52	412.8756545
53	407.4957681
54	400.7933612
55	395.153656
56	393.8077924
57	392.4682133
58	391.1797908
59	390.0445739
60	388.8330947
61	387.6710974
62	382.2438761
63	377.1292179
64	375.9475571
65	374.9698645
66	373.9180639
67	372.9025265
68	368.4162215
69	367.4012926
70	366.4337031
71	362.4810209
72	361.4726604
73	360.5849363
74	359.7177776
75	358.8806373
76	358.0563938
77	354.5193901
78	351.9672465
79	351.2172248
80	348.609298
81	347.8845671
82	344.47997
83	343.7004364
84	342.99994
85	339.9837599
86	339.3440057
87	338.7779904
88	338.1831551
89	337.5764359
90	336.9866677
91	333.8522881
92	333.3060309
93	332.7443971
94	329.9656495
95	329.3908131
96	328.9063371
97	326.4190097
98	325.9481898
99	324.3859979
100	322.3012706
101	320.3150733
102	319.5906134
103	318.4685228
104	318.0688567
105	317.6767089
106	315.8598174
107	315.4935078
108	315.1304835
109	314.7172011
110	314.3714906
111	313.3996744
112	313.0397849
113	312.7564256
114	312.4779503
115	310.3979361
116	309.3562837
117	309.106795
118	308.8204168
119	307.8113928
120	306.3506383
121	306.1273828
122	304.8476459
123	304.6080867
124	304.4018041
125	302.8977973
126	301.8372935
127	300.5523163
128	299.1812119
129	298.9726394
130	297.2556285
131	295.8616597
132	295.6394224
133	294.5919333
134	294.415154
135	294.2585855
136	293.8951869
137	292.4838292
138	291.9990823
139	290.9327784
140	290.7538343
141	289.3242852
142	289.0091998
143	288.6476689
144	287.3062868
145	286.5036449
146	285.6799615
147	285.5582813
148	284.5632244
149	284.4473933
150	284.3195831
151	284.2119346
152	283.6712979
153	283.5770525
154	282.7229855
155	281.4158527
156	280.182969
157	279.4506596
158	278.5523275
159	278.4347164
160	278.3555362
161	278.2712651
162	278.1906732
163	277.2849393
164	277.0153757
165	276.7944819
166	276.7226705
167	276.4427166
168	275.9223465
169	275.6495736
170	275.1337363
171	274.5078453
172	274.0774262
173	273.9124597
174	273.0593472
175	272.9961655
176	272.7593511
177	272.7068961
178	272.571667
179	272.5220134
180	272.3899232
181	271.9113144
182	271.6032905
183	271.384413
184	270.840984
185	270.5904946
186	270.3476166
187	270.3089118
188	270.1539101
189	269.6246024
190	269.0409973
191	268.5653373
