iter	Passed	Remaining
0	74	74760
1	78	39417
2	82	27445
3	85	21395
4	88	17702
5	92	15277
6	95	13567
7	98	12255
8	102	11239
9	105	10419
10	108	9749
11	111	9210
12	115	8732
13	118	8331
14	121	7986
15	126	7770
16	129	7502
17	133	7256
18	136	7036
19	139	6831
20	143	6669
21	146	6507
22	149	6350
23	152	6207
24	155	6075
25	159	5968
26	162	5858
27	165	5754
28	168	5655
29	172	5566
30	175	5494
31	179	5416
32	182	5340
33	185	5266
34	188	5195
35	192	5147
36	195	5086
37	198	5029
38	201	4974
39	204	4918
40	208	4881
41	211	4834
42	214	4784
43	218	4741
44	221	4696
45	225	4667
46	229	4649
47	233	4630
48	236	4595
49	240	4570
50	243	4537
51	247	4503
52	250	4473
53	253	4440
54	257	4421
55	260	4389
56	263	4358
57	266	4326
58	269	4296
59	272	4276
60	275	4240
61	277	4198
62	280	4174
63	283	4149
64	286	4125
65	289	4091
66	292	4068
67	295	4045
68	298	4024
69	300	3987
70	303	3968
71	306	3954
72	309	3933
73	312	3912
74	315	3893
75	318	3876
76	322	3860
77	325	3844
78	328	3826
79	330	3803
80	334	3795
81	338	3787
82	341	3774
83	344	3759
84	347	3742
85	351	3734
86	354	3717
87	357	3701
88	359	3675
89	362	3661
90	365	3646
91	368	3637
92	370	3618
93	373	3603
94	376	3591
95	379	3577
96	381	3553
97	385	3547
98	388	3535
99	391	3525
100	394	3515
101	398	3505
102	401	3497
103	404	3486
104	406	3466
105	409	3456
106	412	3446
107	414	3426
108	417	3410
109	420	3400
110	423	3389
111	426	3379
112	429	3368
113	431	3355
114	434	3341
115	437	3335
116	441	3329
117	443	3311
118	446	3302
119	449	3297
120	452	3289
121	454	3274
122	458	3265
123	460	3250
124	462	3235
125	467	3241
126	470	3236
127	474	3231
128	477	3225
129	479	3211
130	483	3207
131	486	3199
132	489	3192
133	492	3184
134	494	3169
135	497	3163
136	501	3156
137	504	3150
138	507	3143
139	510	3137
140	514	3131
141	517	3125
142	520	3118
143	523	3110
144	526	3105
145	529	3099
146	533	3093
147	534	3079
148	538	3074
149	541	3066
150	545	3066
151	548	3059
152	551	3052
153	554	3046
154	557	3040
155	560	3034
156	564	3030
157	567	3024
158	570	3018
159	573	3011
160	576	3004
161	580	3000
162	583	2994
163	586	2988
164	589	2982
165	592	2975
166	594	2966
167	598	2961
168	601	2956
169	604	2950
170	607	2946
171	611	2943
172	614	2937
173	617	2931
174	620	2927
175	623	2921
176	627	2917
177	630	2911
178	633	2905
179	636	2899
180	639	2893
181	643	2893
182	647	2889
183	650	2883
184	653	2878
185	656	2872
186	659	2867
187	661	2857
188	664	2851
189	667	2845
190	670	2840
191	674	2836
192	677	2833
193	680	2827
194	682	2817
195	685	2811
196	688	2806
197	692	2802
198	694	2797
199	698	2792
200	701	2787
201	702	2777
202	706	2772
203	709	2769
204	712	2764
205	716	2760
206	719	2754
207	722	2750
208	725	2747
209	729	2743
210	733	2741
211	736	2737
212	739	2733
213	743	2729
214	746	2724
215	751	2726
216	754	2723
217	758	2719
218	761	2715
219	765	2712
220	768	2708
221	771	2703
222	774	2699
223	778	2695
224	781	2691
225	784	2686
226	787	2681
227	791	2678
228	794	2673
229	797	2669
230	800	2664
231	803	2659
232	807	2656
233	810	2652
234	813	2647
235	816	2642
236	819	2638
237	822	2634
238	825	2629
239	828	2624
240	831	2620
241	834	2615
242	838	2612
243	841	2608
244	845	2604
245	848	2600
246	851	2595
247	855	2592
248	859	2591
249	862	2587
250	865	2583
251	868	2579
252	872	2575
253	875	2571
